Debian_Package,Debian_Source,openhub_name,cve_keyword,bug_tracker,Debian_Description,Debian_Install,direct_network_exposure,process_network_data,potential_privilege_escalation,comment_on_priority,comments
libpciaccess0,libpciaccess,pci-utility,pci-utility,, Generic PCI access library for X,Standard System Utilities,0,0,0,,
libpcre3,pcre3,pcre,pcre,, Perl 5 Compatible Regular Expression Library - runtime files,Standard System Utilities,0,1,0,"Regexes are widely used for security-relevant input validation. Has Home page, Bug Tracker http://bugs.exim.org/buglist.cgi?product=PCRE NOT very active, public repo http://sourceforge.net/projects/pcre/files/ ++",Regexes often used for input validation
libpipeline1,libpipeline,libpipeline,libpipeline,, pipeline manipulation library,Standard System Utilities,0,0,0,,
libpixman-1-0,pixman,pixman,pixman,, pixel-manipulation library for X and cairo,Standard System Utilities,0,0,0,,
libpopt0,popt,popt,popt,, lib for parsing cmdline parameters,Standard System Utilities,0,0,0,,
libprocps0,procps,procps,procps,, library for accessing process information from /proc,Standard System Utilities,0,0,0,,
libpth20,pth,,libpth,, The GNU Portable Threads,Standard System Utilities,0,0,0,,
libquadmath0,gcc-4.7,gcc,gcc,, GCC Quad-Precision Math Library,Standard System Utilities,0,0,0,,
libreadline6,readline6,,readline6,," GNU readline and history libraries, run-time libraries",Standard System Utilities,0,0,0,"Typically interactive same-user use, so unlikely to be security issue.",
libsasl2-2,cyrus-sasl2,12134,libsasl2-2,, Cyrus SASL - authentication abstraction library,Standard System Utilities,0,1,0,"Authentication library. Has Home Page, HAS bug tracker https://bugzilla.cyrusimap.org/index.cgi, fairly active ML http://asg.andrew.cmu.edu/archive/index.php?mailbox=archive.cyrus-sasl ++",
libsasl2-modules,cyrus-sasl2,12134,libsasl2-2,, Cyrus SASL - pluggable authentication modules,Standard System Utilities,0,1,0,"Authentication library. Has Home Page, HAS bug tracker https://bugzilla.cyrusimap.org/index.cgi, fairly active ML http://asg.andrew.cmu.edu/archive/index.php?mailbox=archive.cyrus-sasl ++",
libselinux1,libselinux,selinux,selinux,, SELinux runtime shared libraries,Standard System Utilities,0,0,1,SELinux vital for security on systems using it (there are many).  Many of the critical parts are in the kernel.,
libsemanage-common,libsemanage,libsemanage,libsemanage, https://api.github.com/repos/pld-linux/libsemanage/issues, Common files for SELinux policy management libraries,Standard System Utilities,0,0,1,,
libsemanage1,libsemanage,libsemanage,libsemanage, https://api.github.com/repos/pld-linux/libsemanage/issues, SELinux policy management library,Standard System Utilities,0,0,0,,
libsepol1,libsepol,serefpolicy,serefpolicy,, SELinux library for manipulating binary security policies,Standard System Utilities,0,0,0,,
libsigc++-2.0-0c2a,libsigc++-2.0,libsigc,libsigc,, type-safe Signal Framework for C++ - runtime,Standard System Utilities,0,0,0,,
libslang2,slang2,slang,slang,, S-Lang programming library - runtime version,Standard System Utilities,0,0,0,,
libsm6,libsm,,libsm,, X11 Session Management library,Standard System Utilities,0,0,0,Just stores X11 sessions for later use.,
libsqlite3-0,sqlite3,sqlite,sqlite,, SQLite 3 shared library,Standard System Utilities,0,0,0,,
libss2,e2fsprogs,e2fsprogs,e2fsprogs,, command-line interface parsing library,Standard System Utilities,0,0,0,,
libssl1.0.0,openssl,openssl,openssl,, SSL shared libraries,Standard System Utilities,1,0,0,"Critical, in wide use.  OpenSSL is already funded by CII. ++",
libstdc++6,gcc-4.7,gcc,gcc,, GNU Standard C++ Library v3,Standard System Utilities,0,0,0,,
libswitch-perl,,,libswitch,, switch statement for Perl,Standard System Utilities,0,0,0,,
libtasn1-3,,,asn1,, Manage ASN.1 structures (runtime),Standard System Utilities,0,1,0,"Important because X.509 certificates (standard for certificates) use ASN.1. A Gnu project, git repo and mailing list available from home page. No issue tracker found. Search on 'security' in mailing list archives shows a few messages from Debian using security-related compiler flags. Debian security page shows a history of CVE's being fixed, most recent in 2014. OpenHub page at https://www.openhub.net/p/libtasn1 gives stats. Active effort of one developer, with others contributing as recently as 9 months ago. ++",
libtext-charwidth-perl,libtext-charwidth-perl (0.04-7),,libtext,, get display widths of characters on the terminal,Standard System Utilities,0,0,0,,
libtext-iconv-perl,,,libtext,, converts between character sets in Perl,Standard System Utilities,0,0,0,,
libtext-wrapi18n-perl,,,libtext,, internationalized substitute of Text::Wrap,Standard System Utilities,0,0,0,,
libtinfo5,ncurses,ncurses,ncurses,, shared low-level terminfo library for terminal handling,Standard System Utilities,0,0,0,,
libtirpc1,libtirpc,libtirpc,libtirpc,, transport-independent RPC library,Standard System Utilities,1,0,0,"RPC library, used by NFS.",
libtokyocabinet9,tokyocabinet,tokyocabinet,tokyocabinet,, Tokyo Cabinet Database Libraries [runtime],Standard System Utilities,0,0,0,,
libudev0,udev,udev,udev,, libudev shared library,Standard System Utilities,0,0,0,,
libusb-0.1-4,libusb,libusb,libusb,, userspace USB programming library,Standard System Utilities,0,0,0,,
libusb-1.0-0,libusbx,libusbx,libusb,, userspace USB programming library,Standard System Utilities,0,0,0,,
libustr-1.0-1,ustr,10874,ustr,, Micro string library: shared library,Standard System Utilities,0,0,0,,
libuuid-perl,,data-uuid,libuuid, https://api.github.com/repos/rjbs/data-uuid/issues, Perl extension for using UUID interfaces as defined in e2fsprogs,Standard System Utilities,0,0,0,,
libuuid1,util-linux,util-linux-ng,util-linux,, Universally Unique ID library,Standard System Utilities,0,0,0,,
libwrap0,tcp-wrappers,,tcpwrapper,, Wietse Venema's TCP wrappers library,Standard System Utilities,0,1,0,Exposed to the network (wraps incoming requests). Has some security-relevant functions. Relatively small.,
libx11-6,libx11,libx11,libx11, https://api.github.com/repos/mirror/libX11/issues, X11 client-side library,Standard System Utilities,0,0,0,,
libx11-data,libx11,libx11,libx11, https://api.github.com/repos/mirror/libX11/issues, X11 client-side library,Standard System Utilities,0,0,0,,
libxapian22,xapian-core,xapian,xapian,, Search engine library,Standard System Utilities,0,0,0,,
libxau6,libxau,xauthxx,libxau,, X11 authorisation library,Standard System Utilities,1,0,0,"X11 authorization.  Important, but X not typically network-exposed today, so expect reduced risk today compared to past.",http://xorg.freedesktop.org/releases/individual/lib/
libxaw7,libxaw,x,libxaw,, X11 Athena Widget library,Standard System Utilities,0,0,0,,
libxcb1,libxcb,libxcb,libxcb, https://api.github.com/repos/StarchLinux/libxcb/issues, X C Binding,Standard System Utilities,0,0,0,,
libxcomposite1,libxcomposite,x,libxcomposite,, X11 Composite extension library,Standard System Utilities,0,0,0,,
libxdamage1,libxdamage,x,libxdamage,, X11 damaged region extension library,Standard System Utilities,0,0,0,,
libxdmcp6,libxdmcp,x,libxdmcp,, X11 Display Manager Control Protocol library,Standard System Utilities,0,0,0,,
libxext6,libxext,x,libxext,, X11 miscellaneous extension library,Standard System Utilities,0,0,0,,
libxfixes3,libxfixes,x,libxfixes,, X11 miscellaneous 'fixes' extension library,Standard System Utilities,0,0,0,,
libxfont1,libxfont,x,libxfont,, X11 font rasterisation library,Standard System Utilities,0,0,0,,
libxkbfile1,libxkbfile,x,libxkbfile,, X11 keyboard file manipulation library,Standard System Utilities,0,0,0,,
libxml2,,libxml2,libxml2,, GNOME XML library,Standard System Utilities,0,1,0,"Processes attacker-provided data. HAS Home Page, Has bug tracker https://bugzilla.gnome.org/buglist.cgi?product=libxml2 which is very active. ++",
libxmu6,libxmu,x,libxmu,, X11 miscellaneous utility library,Standard System Utilities,0,0,0,,
libxmuu1,libxmu,x,libxmu,, X11 miscellaneous micro-utility library,Standard System Utilities,0,0,0,,
libxpm4,libxpm,x,libxpm,, X11 pixmap library,Standard System Utilities,0,0,0,,
libxrandr2,libxrandr,x,libxrandr,, X11 RandR extension library,Standard System Utilities,0,0,0,,
libxrender1,libxrender,libxrender,libxrender,, X Rendering Extension client library,Standard System Utilities,0,0,0,,
libxt6,libxt,x,libxt,, X11 toolkit intrinsics library,Standard System Utilities,0,0,0,,
linux-base,,,linux-base,, Linux image base package,Standard System Utilities,0,0,0,These are small scripts and utilities for the Linux kernel.,"The main ""linux"" image is network-exposed; this is different (set of support scripts)"
linux-headers-3.2.0-4-amd64,linux,libc-headers,linux-headers,, Header files for Linux 3.2.0-4-amd64,Standard System Utilities,0,0,0,,
linux-headers-3.2.0-4-common,linux,linux,linux-headers,, Common header files for Linux 3.2.0-4,Standard System Utilities,0,0,0,,
linux-headers-amd64,linux-latest (46),linux,linux-headers,, Header files for Linux amd64 configuration (meta-package),Standard System Utilities,0,0,0,,
linux-image-3.2.0-4-amd64,linux,linux,Linux-image,, Linux 3.2 for 64-bit PCs,Standard System Utilities,1,0,0,"Linux kernel. Fundamental to security, but it has extremely active development and many tools/organizations reviewing.",
linux-image-amd64,linux-latest (46),linux,Linux-image,, Linux for 64-bit PCs (meta-package),Standard System Utilities,0,0,0,,
linux-kbuild-3.2,linux-tools,linux,kbuild,, Kbuild infrastructure for Linux 3.2,Standard System Utilities,0,0,0,,
linux-libc-dev,linux,linux,Linux-libc,, Linux support headers for userspace development,Standard System Utilities,0,0,0,,
locales,eglibc,eglibc,eglibc,, Embedded GNU C Library: National Language (locale) data [support],Standard System Utilities,0,0,0,,
login,shadow,shadow-tool-suite,shadow,, system login tools,Standard System Utilities,0,0,1,"Front door for local login. Has Home Page, part of shadow tool suite, Latest release May 2014, Public Repo, Somewhat active mailing list, NO issue tracker. ++",
logrotate,,logrotate,logrotate,, Log rotation utility,Standard System Utilities,0,0,1,"Moves logs, but doesn't seriously analyze them, so attack opportunities reduced.",
lsb-base,lsb,lsb,lsb,, Linux Standard Base 4.1 init script functionality,Standard System Utilities,0,0,0,,
lsb-release,lsb,lsb,lsb,, Linux Standard Base version reporting utility,Standard System Utilities,0,0,0,,
lsof,,lsof,lsof,, Utility to list open files,Standard System Utilities,0,0,0,Unlikely to be a security vulnerability,
m4,,m4,m4,, a macro processing language,Standard System Utilities,0,0,0,,
make,make-dfsg,make,make,, An utility for Directing compilation.,Standard System Utilities,0,0,0,,
man-db,,man-db,man-db,, on-line manual pager,Standard System Utilities,0,0,0,,
manpages,,,manpages,, Manual pages about using a GNU/Linux system,Standard System Utilities,0,0,0,,
manpages-dev,manpages,,manpages,, Manual pages about using GNU/Linux for development,Standard System Utilities,0,0,0,,
mawk,,mawk,mawk,, a pattern scanning and text processing language,Standard System Utilities,0,0,0,,
menu,,8294,,, generates programs menu for all menu-aware applications,Standard System Utilities,0,0,0,,
mime-support,,,mime-support,," MIME files 'mime.types' & 'mailcap', and support programs",Standard System Utilities,0,0,0,Processes potentially untrustworthy files.,
mlocate,,mlocate,mlocate,, quickly find files on the filesystem based on their name,Standard System Utilities,0,0,0,,
module-init-tools,kmod,kmod,kmod,, transitional dummy package (module-init-tools to kmod),Standard System Utilities,0,0,0,,
mount,util-linux,util-linux-ng,util-linux,, Tools for mounting and manipulating filesystems,Standard System Utilities,0,0,0,,
multiarch-support,eglibc,eglibc,eglibc,, Transitional package to ensure multiarch compatibility,Standard System Utilities,0,0,0,,
mutt,,mutt,mutt,," text-based mailreader supporting MIME, GPG, PGP and threading",Standard System Utilities,1,0,0,Rarely used in practice,
nano,nano (2.2.6-1),nano,nano,," small, friendly text editor inspired by Pico",Standard System Utilities,0,0,0,,
ncurses-base,ncurses,ncurses,ncurses,, basic terminal type definitions,Standard System Utilities,0,0,0,,
ncurses-bin,ncurses,ncurses,ncurses,, terminal-related programs and man pages,Standard System Utilities,0,0,0,,
ncurses-term,ncurses,ncurses,ncurses,, additional terminal type definitions,Standard System Utilities,0,0,0,,
net-tools,,net-tools,net-tools,, The NET-3 networking toolkit,Standard System Utilities,1,0,0,"It's unclear if the Debian package and SourceForge project are still related.  This warrants further examination. Upstream listed as https://developer.berlios.de/projects/net-tools/ but has moved to http://sourceforge.net/projects/net-tools/ Has mailing though rather inactive. Has public git repo, latest commit 2015-01-07 on 2015-03-12. These are tools for controlling the network and typically run as root; it's unclear how exposed they are to network attack (most, if not all, are probably not exposed). This lack of exposure probably lowers their priority. ++","Debian points to http://net-tools.berlios.de/ but it doesn't exist, sourceforge page seems to be equivalent. most net-tools programs are obsolete now."
netbase,,,netbase,, Basic TCP/IP networking system,Standard System Utilities,1,0,0,,
netcat-traditional,netcat,,netcat,, TCP/IP swiss army knife,Standard System Utilities,1,0,0,Netcat is typically used only by invocation in specific cases.,"External maintenance stopped in 1996: “was developed until first  months of the 1996, when it reached version 1.10, released by Avian 
Research (avian.org).” Not the same GNU netcat or OpenBSD netcat; https://www.openhub.net/projects/netcat
"
nfs-common,nfs-utils,nfs-utils,nfs-utils,, NFS support files common to client and server,Standard System Utilities,1,0,0,"Important for NFS, amount of use unclear.",
openssh-blacklist,,openssh,openssh,, list of default blacklisted OpenSSH RSA and DSA keys,Standard System Utilities,0,0,0,,
openssh-blacklist-extra,openssh-blacklist,openssh,openssh,, list of non-default blacklisted OpenSSH RSA and DSA keys,Standard System Utilities,0,0,0,,
openssh-client,openssh,openssh,openssh,," secure shell (SSH) client, for secure access to remote machines",Standard System Utilities,1,0,0,Vital for security. CII already investing in this. ++,
openssh-server,openssh,openssh,openssh,," secure shell (SSH) server, for secure access from remote machines",SSH Server,1,0,0,Vital for security. CII already investing in this. ++,
openssl,,openssl,openssl,, Secure Socket Layer (SSL) binary and related cryptographic tools,Standard System Utilities,1,0,0,"Critical, in wide use.  OpenSSL is already funded by CII. ++",
os-prober,,os-prober,os-prober,, utility to detect other OSes on a set of drives,Standard System Utilities,0,0,0,,
passwd,shadow,shadow-tool-suite,shadow,, change and administer password and group data,Standard System Utilities,1,0,0,Critical for security; unclear if undicovered vulnerabilities are likely to be here.,
patch,,diffutils,,, Apply a diff file to an original,Standard System Utilities,0,0,0,,
pciutils,,pciutils,pciutils,, Linux PCI Utilities,Standard System Utilities,0,0,0,,
perl,,perl,perl,, Larry Wall's Practical Extraction and Report Language,Standard System Utilities,0,0,0,,
perl-base,perl,perl,perl,, minimal Perl system,Standard System Utilities,0,0,0,,
perl-modules,perl,perl,perl,, Core Perl modules,Standard System Utilities,0,0,0,,
procmail,,8853,procmail,, Versatile e-mail processor,Standard System Utilities,1,0,0,"Processes email passed in, so it does process untrusted data from the network.",
procps,,procps,procps,, /proc file system utilities,Standard System Utilities,0,0,0,,
psmisc,,psmisc,psmisc,, utilities that use the proc file system,Standard System Utilities,0,0,0,,
python,python-defaults,python,python,, interactive high-level object-oriented language (default version),Standard System Utilities,0,0,0,,
python-apt,,python-apt,python-apt,, Python interface to libapt-pkg,Standard System Utilities,0,0,0,,
python-apt-common,python-apt,python-apt,python-apt,, Python interface to libapt-pkg (locales),Standard System Utilities,0,0,0,,
python-chardet,chardet,chardet,chardet,, universal character encoding detector,Standard System Utilities,0,0,0,,
python-debian,,python-debian,python-debian,, Python modules to work with Debian-related data formats,Standard System Utilities,0,0,0,,
python-debianbts,,python-debianbts,python-debianbts,, Python interface to Debian's Bug Tracking System,Standard System Utilities,0,0,0,,
python-fpconst,fpconst,,fpconst,, Utilities for handling IEEE 754 floating point special values,Standard System Utilities,0,0,0,,
python-minimal,python-defaults,python,python-minimal,, minimal subset of the Python language (default version),Standard System Utilities,0,0,0,,
python-reportbug,reportbug,,reportbug,, Python modules for interacting with bug tracking systems,Standard System Utilities,0,0,0,,
python-soappy,,python-soappy,python-soappy,, SOAP Support for Python,Standard System Utilities,1,0,0,,
python-support,,python-support,python-support,, automated rebuilding support for Python modules,Standard System Utilities,0,0,0,,
python2.6,,python,python,, Interactive high-level object-oriented language (version 2.6),Standard System Utilities,0,0,0,,
python2.6-minimal,python2.6,python,python,, Minimal subset of the Python language (version 2.6),Standard System Utilities,0,0,0,,
python2.7,,python,python,, Interactive high-level object-oriented language (version 2.7),Standard System Utilities,0,0,0,,
python2.7-minimal,python2.7,python,python,, Minimal subset of the Python language (version 2.7),Standard System Utilities,0,0,0,,
readline-common,readline6,,readline,," GNU readline and history libraries, common files",Standard System Utilities,0,0,0,,
reportbug,,reportbug,reportbug,, reports bugs in the Debian distribution,Standard System Utilities,1,0,0,,
rpcbind,,rpcbind,rpcbind,, converts RPC program numbers into universal addresses,Standard System Utilities,1,0,0,"IPC communication, including network communcation from untrustworthy sources.",
rsyslog,,rsyslog,rsyslog,, reliable system and kernel logging daemon,Standard System Utilities,1,0,0,"Processes data from untrusted users.  Important today; as systemd becomes more used, its use may lessen but still important for merging data sources. Project page http://www.rsyslog.com/ Official repo on GitHub, https://github.com/rsyslog This is an active multi-person project; in the one-month period February 12, 2015 ﾖ March 12, 2015, excluding merges, 7 authors have pushed 27 commits to master and 40 commits to all branches. On master, 37 files have changed and there have been 677 additions and 216 deletions. ++",
samba,,samba,samba,https://bugzilla.samba.org/,"SMB/CIFS file, print, and login server for Unix",,1,0,0,,
sed,,sed,sed,, The GNU sed stream editor,Standard System Utilities,0,0,0,,
sensible-utils,,debianutils,debianutils,, Utilities for sensible alternative selection,Standard System Utilities,0,0,0,,
sgml-base,,,sgml,, SGML infrastructure and SGML catalog file support,Standard System Utilities,0,0,0,,
sysv-rc,sysvinit,sysvinit,sysvinit,, System-V-like runlevel change mechanism,Standard System Utilities,0,0,0,,
sysvinit,,sysvinit,sysvinit,, System-V-like init utilities,Standard System Utilities,0,0,0,,
sysvinit-utils,sysvinit,sysvinit,sysvinit,, System-V-like utilities,Standard System Utilities,0,0,0,,
tar,,tar,tar,, GNU version of the tar archiving utility,Standard System Utilities,0,1,0,"Widely-used compression/decompression.  Vital, a vulnerability here could be very serious. Has Home page, mailing list, Public Repo git://git.savannah.gnu.org/tar.git, uses ""technical support"" for issue tracking (could be confusing).  Does have changes in git repo, but only a few a month and typically small. ++",
task-english,tasksel,tasksel,tasksel,, General English environment,Standard System Utilities,0,0,0,,
task-ssh-server,tasksel,tasksel,tasksel,, SSH server,SSH Server,1,0,0,,
tasksel,,tasksel,tasksel,, Tool for selecting tasks for installation on Debian systems,Standard System Utilities,0,0,0,,
tasksel-data,tasksel,tasksel,tasksel,, Official tasks used for installation of Debian systems,Standard System Utilities,0,0,0,,
tcpd,tcp-wrappers,,tcpwrapper,, Wietse Venema's TCP wrapper utilities,Standard System Utilities,1,0,0,Exposed to the network (wraps incoming requests). Has some security-relevant functions. Relatively small.,Upstream halted since 2001. ftp://ftp.porcupine.org/pub/security/index.html
telnet,netkit-telnet,,telnet,, The telnet client,Standard System Utilities,1,0,0,Telnet is a fundamentally insecure protocol and is being phased out in most locations.,Debian comment reports upstream as ftp://ftp.uk.linux.org/pub/linux/Networking/netkit/ which is no longer available.
texinfo,,texinfo,texinfo,, Documentation system for on-line information and printed output,Standard System Utilities,0,0,0,,
time,,time,gnutime,, GNU time program for measuring CPU resource usage,Standard System Utilities,0,0,0,,NTP is different.
traceroute,,,traceroute,, Traces the route taken by packets over an IPv4/IPv6 network,Standard System Utilities,1,0,0,"Attackers could conceivably reply with attack (using malicious packets), that'd be sneaky.",Not the same as GNU traceroute
tzdata,,,tzdata,, time zone and daylight-saving time data,Standard System Utilities,0,0,0,,
ucf,,cfg-update,ucf, https://api.github.com/repos/rich0/cfg-update/issues, Update Configuration File: preserve user changes to config files.,Standard System Utilities,0,0,0,,
udev,,udev,udev,, /dev/ and hotplug management daemon,Standard System Utilities,0,0,0,,
usbutils,,usbutils,usbutils,https://api.github.com/repos/gregkh/usbutils/issues, Linux USB utilities,Standard System Utilities,0,0,0,,
util-linux,,util-linux-ng,util-linux,, Miscellaneous system utilities,Standard System Utilities,0,0,0,,
util-linux-locales,util-linux,util-linux-ng,util-linux,, Locales files for util-linux,Standard System Utilities,0,0,0,,
vim-common,vim,vim,vim,, Vi IMproved - Common files,Standard System Utilities,0,0,0,,
vim-tiny,vim,vim,vim,, Vi IMproved - enhanced vi editor - compact version,Standard System Utilities,0,0,0,,
virtualbox-guest-dkms,virtualbox,virtualbox,virtualbox,, x86 virtualization solution - guest addition module source for dkms,Standard System Utilities,0,0,1,,
virtualbox-guest-utils,virtualbox,virtualbox,virtualbox,, x86 virtualization solution - non-X11 guest utilities,Standard System Utilities,0,0,1,,
virtualbox-guest-x11,virtualbox,virtualbox,virtualbox,, x86 virtualization solution - X11 guest utilities,Standard System Utilities,0,0,1,,
virtualbox-ose-guest-x11,virtualbox,virtualbox,virtualbox,, transitional package for virtualbox-guest-x11,Standard System Utilities,0,0,1,,
w3m,,w3m,w3m,, WWW browsable pager with excellent tables/frames support,Standard System Utilities,1,0,0,"Web browser, so can clearly process attacker data.  However, less commonly used in practice.",
wamerican,scowl,scowl,scowl,, American English dictionary words for /usr/share/dict,Standard System Utilities,0,0,0,,
wget,,wget,wget,, retrieves files from the web,Standard System Utilities,1,0,0,"Directly processes potentially-malicious data from the Internet, often used in scripts. GNU project. https://www.gnu.org/software/wget/ Actual development on GNU's Savannah using git and its bugtracker, http://savannah.gnu.org/projects/wget/ Actively developed, many patches. wget-1.16.3 released 2015-03-09 on downloads. Note that this is directly exposed to attack.  It has some code documentation (e.g., http://wget.addictivecode.org/NavigatingTheSource), but it warns that it can be fairly hard to follow, contains a fair number of hacks, and functionality that was ""tacked on"" (which is not good for security). ++",
whiptail,newt,newt,newt,, Displays user-friendly dialog boxes from shell scripts,Standard System Utilities,0,0,0,,
whois,,,whois,, intelligent WHOIS client,Standard System Utilities,1,0,0,Less commonly used.,Homepage https://github.com/rfc1036/whois
x11-common,xorg,x,xorg,, X Window System (X.Org) infrastructure,Standard System Utilities,0,0,1,X development is transitioning towards Wayland.,Typically X isn't directly exposed to arbitrary port connections
x11-xkb-utils,,x,xkb,, X11 XKB utilities,Standard System Utilities,0,0,0,,
xauth,,,xauth,, X authentication utility,Standard System Utilities,0,0,1,"X Authentication - might enable local privilege escalation.  Home Page: http://www.x.org/ There are current efforts to replace this (e.g., Wayland, Mir). Public code repo is mentioned in dev docs, but clone URL is never stated. Probably given out on request. One nice thing... www.x.org/wiki/Development/Security/ ++",
xfonts-base,,xfonts,xfonts,, standard fonts for X,Standard System Utilities,0,0,0,,
xfonts-encodings,,xfonts,xfonts,, Encodings for X.Org fonts,Standard System Utilities,0,0,0,,
xfonts-utils,,xfonts,xfonts,, X Window System font utility programs,Standard System Utilities,0,0,0,,
xkb-data,xkeyboard-config,xkeyboard-config,xkeyboard,, X Keyboard Extension (XKB) configuration data,Standard System Utilities,0,0,0,,
xml-core,,perl-xml-simple,xml-core,, XML infrastructure and XML catalog file support,Standard System Utilities,0,1,0,,
xserver-common,xorg-server,xserver-xorg-driver-ati,xorg,, common files used by various X servers,Standard System Utilities,0,0,0,,
xserver-xorg-core,xorg-server,xserver-xorg-driver-ati,xorg,, Xorg X server - core server,Standard System Utilities,0,0,0,X development is transitioning towards Wayland.,
xz-utils,,xz-utils,xz-utils,, XZ-format compression utilities,Standard System Utilities,0,1,0,"Widely-used compression/decompression.  Vital, a vulnerability here could be very serious. HAS Home Page, public code repo http://git.tukaani.org/?p=xz.git;a=summary - fairly active by small # of committers.  Some mailing list activity.  No bug tracker found. ++",
zlib1g,zlib,zlib,zlib,, compression library - runtime,Standard System Utilities,0,1,0,"Widely-used compression/decompression.  Vital, a vulnerability here could be very serious. HAS Home Page, has mailing list zlib@gzip.org, NO issue tracker, Latest release April 2013 (old). +++",
analog,,AnalogCAmie,analog,, web server log analyzer,Web Server,1,0,0,"Web log analyzer, analyzes attacker-provided data.  Could conceivably be way to attack via maliciously-formatted data for logging.",Analyzes data provided by potential attackers
apache2,,apache,apache2,, Apache HTTP Server metapackage,Web Server,1,0,0,"Vitally important.  Note, however, that there's already large development & review team in place.",
apache2-doc,apache2,apache,apache2,, Apache HTTP Server documentation,Web Server,0,0,0,,
apache2-mpm-worker,apache2,apache,apache2,, Apache HTTP Server - high speed threaded model,Web Server,1,0,0,"Vitally important.  Note, however, that there's already large development & review team in place.",
apache2-utils,apache2,apache,apache2,, utility programs for webservers,Web Server,1,0,0,"Vitally important.  Note, however, that there's already large development & review team in place.",
apache2.2-bin,apache2,apache,apache2,, Apache HTTP Server common binary files,Web Server,1,0,0,,
apache2.2-common,apache2,apache,apache2,, Apache HTTP Server common files,Web Server,1,0,0,,
libapr1,apr,apr,apr,, Apache Portable Runtime Library,Web Server,0,1,0,"Important. The general Apache Portable Runtime (APR) appears to be actively maintained.  However, it's not as clear that the LDAP library in it is as actively managed. HAS Home Page, HAS Mailing List, Issue tracker https://bz.apache.org/bugzilla/enter_bug.cgi?product=APR \++",
libaprutil1,apr-util,apr,apr,, Apache Portable Runtime Utility Library,Web Server,0,1,0,"Important. The general Apache Portable Runtime (APR) appears to be actively maintained.  However, it's not as clear that the LDAP library in it is as actively managed. HAS Home Page, HAS Mailing List, Issue tracker https://bz.apache.org/bugzilla/enter_bug.cgi?product=APR \++",
libaprutil1-dbd-sqlite3,apr-util,apr,apr,, Apache Portable Runtime Utility Library - SQLite3 Driver,Web Server,0,0,0,,
libaprutil1-ldap,apr-util,apr,apr,, Apache Portable Runtime Utility Library - LDAP Driver,Web Server,1,0,0,"Important. The general Apache Portable Runtime (APR) appears to be actively maintained.  The LDAP driver is maintained as part of APR, http://apr.apache.org/ The APR-util version 1.5.4 was released September 22, 2014, so it is actively maintained. They use the apache.org repo and subversion; apr-util has been merged into main trunk, making it a little harder to see LDAP specifics to determine if the LDAP portion is active. Mailing list dev@apr.apache.org seems active. ++",
libgd2-noxpm,libgd2,libgd,libgd,, GD Graphics Library version 2 (without XPM support),Web Server,0,1,0,,
libjpeg8,,libjpeg,libjpeg,, Independent JPEG Group's JPEG runtime library,Web Server,0,1,0,"Widely-used format that is decompressed and provided by attackers. HAS Home Page, Can download as tarball, NO issue tracker, latest version/activity Jan 2014, NO mailing list +++",
libpng12-0,libpng,libpng,libpng,, PNG library - runtime,Web Server,0,1,0,"Widely-used format that is decompressed and provided by attackers. HAS Home Page, Can Access Source code, Not much activity - just warnings about CVEs that were fixed. +++",
ssl-cert,,debconf,debconf,, simple debconf wrapper for OpenSSL,Web Server,1,0,0,See OpenSSL.,
task-web-server,tasksel,tasksel,tasksel,, Web server,Web Server,0,0,0,,
,,,,,,,,,,,
coolkey,,,coolkey,,,,0,1,0,"Smart card drivers.  Not used in many environments, but critically important for security in other environments.  Activity unclear. Managed via Fedora packaging active here: https://apps.fedoraproject.org/packages/coolkey but that is not where the real code is maintained. Important for users of PKCS#11, but slightly specialized. http://pkgs.fedoraproject.org/gitweb/?p=coolkey.git http://pkg-coolkey.alioth.debian.org/ ++",
gnutls-bin,,gnutls,gnutls-bin,,,,1,0,0,See GnuTLS.,
libopencryptoki0,,,libopencryptoki0,,,,0,1,0,,
libpolarssl-runtime,,polarssl,libpolarssl,,,,1,0,0,SSL/TLS library.  Protocol is important.  This implementation is less widely used.,
bouncycastle,,5523,bouncycastle,,,,1,0,0,,
libressl,,libressl,libressl,,,,1,0,0,"Fork of OpenSSL. HAS Home Page, Can Download as tarball,  VERY Active on Github https://github.com/libressl-portable/portable ++",
,,,,,,,,,,,
zip,,infozip,zip,,,,0,1,0,,
unzip,,infozip,unzip,,,,0,1,0,"Widely-used format that is decompressed and provided by attackers. HAS Home Page, Can Download Binaries, NO issue tracker. +++",
lzma,,lzmautils,lzma,,,,0,1,0,,
,,,,,,,,,,,
ntp,,,ntp,,,,1,0,0,"Directly connects to network and open to attack. HAS Home Page, NO issue tracker, Has Mailing list, public repo. CII investing. ++",
bootp,,,bootp,,,,1,0,0,Bootp has basic seucurity issues.,
curl,,curl,curl,,,,1,0,0,Telnet is a fundamentally insecure protocol and is being phased out.,
,,,,,,,,,,,
binutils-dev,,binutils,binutils-dev,,,,0,0,0,,
,,,,,,,,,,,
libpng3,,libpng,libpng3,,,,0,1,0,,
libpng,,libpng,libpng,,,,0,1,0,,
libzrtp,,,libzrtp,,,,0,1,0,Unclear how widely this is used.,Voice encryption/decryption
libgif4,,giflib,libgif4,,,,0,1,0,"Widely-used format that is decompressed and provided by attackers. HAS Home Page, Active issue tracker, Mailing list, public repo. ++",
,,,,,,,,,,,
